e50d0c183689e4053ccb35f8b29d98c8	e50d0c183689e4053ccb35f8b29da3f1	76612bd9a41885add4f6b0b7683fc62a	858ed4564f11795ec13dda4c10a0d72a	858ed4564f11795ec13dda4c10a0e1f1	e50d0c183689e4053ccb35f8b29dac3b	e50d0c183689e4053ccb35f8b29db9d8	858ed4564f11795ec13dda4c10a0fe2d	76612bd9a41885add4f6b0b768400213	76612bd9a41885add4f6b0b768400cc4	76612bd9a41885add4f6b0b768400e2f	76612bd9a41885add4f6b0b768401727	858ed4564f11795ec13dda4c10a11c73	76612bd9a41885add4f6b0b768402828	88af6472fb03642dd5eaf8cddcc0d7ce	76612bd9a41885add4f6b0b7684037d2	88af6472fb03642dd5eaf8cddcbfaba0	858ed4564f11795ec13dda4c10a1a09d	858ed4564f11795ec13dda4c10a1c38e	858ed4564f11795ec13dda4c10a1d475
NA;NA;NA;NA;g__Actinobaculum	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NA;NA;NA;NA;g__Propionibacterium	0	1	0	0	9	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
NA;NA;NA;NA;g__Methylobacterium	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;g__Facklamia	0	0	0	0	73	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;g__Sphingomonas	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;g__Akkermansia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;g__Enterococcus	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;g__Pseudomonas	4	0	3	0	0	0	735	0	0	0	0	0	0	15	0	0	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Dermabacteraceae;g__Dermabacter	1	2	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;g__Acidovorax	0	0	0	0	157	0	0	23	0	0	0	0	9	0	0	0	0	0	0	1
NA;NA;NA;NA;g__Bulleidia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Brevibacteriaceae;g__Brevibacterium	0	0	0	0	139	12	0	17	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__Helcococcus	0	2	0	0	15	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;g__Roseateles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;g__Enhydrobacter	0	0	0	0	0	0	721	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;g__Janthinobacterium	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;g__Bosea	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes;Bacilli;Mycoplasmatales;Ureaplasmataceae;g__Ureaplasma	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;g__Ralstonia	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NA;NA;NA;NA;g__Sarcina	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Micrococcaceae;g__Micrococcus	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;g__Caulobacter	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;g__Sphingopyxis	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;g__Pseudoclavibacter	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;g__Shuttleworthia	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	7	4
NA;NA;NA;NA;g__Burkholderia	0	0	0	0	0	0	716	0	0	0	0	0	0	0	0	0	0	1	0	0
NA;NA;NA;NA;NA;s__coleohominis	141	0	14	0	0	0	0	0	0	0	0	0	0	212	4	1	0	0	2	0
NA;NA;NA;NA;NA;s__anaerobius	0	0	0	0	3	1	0	0	0	71	0	0	11	1	0	0	0	1	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia;s__mucilaginosa	0	1	0	1	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	1
NA;NA;NA;NA;NA;s__distasonis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;s__prausnitzii	48	0	0	0	0	1	0	0	0	1	1	4	1	0	0	0	0	0	0	1
NA;NA;NA;NA;NA;s__dispar	0	0	0	0	3	0	0	0	0	1	0	13	0	2	2	0	0	0	0	1
NA;NA;NA;NA;NA;s__subflava	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;s__segnis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NA;NA;NA;NA;NA;s__nanceiensis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;s__tannerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
NA;NA;NA;NA;NA;s__parvula	0	0	0	0	2	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0
NA;NA;NA;NA;NA;s__parainfluenzae	0	0	0	0	1	2	0	3	0	0	0	11	2	0	4	1	0	0	0	1
Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;s__aerofaciens	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;s__copri	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Ruminococcus_B;s__gnavus	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NA;NA;NA;NA;NA;s__obeum	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;s__longum	0	0	0	0	0	4	0	0	0	0	0	1	0	12	0	1	0	0	0	0
NA;NA;NA;NA;NA;s__bifidum	1	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter_B;s__ureolyticus	0	0	0	0	765	6	1	0	0	172	0	6	35	0	0	19	36	0	1	1
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;s__iners	1	0	286	0	115	169	13	13	22	78	0	0	11	400	4	82	100	0	59	63
NA;NA;NA;NA;NA;s__acnes	0	1	0	0	9	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;s__uniformis	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;s__caccae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;s__muciniphila	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;s__zeae	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;s__veronii	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;s__delafieldii	0	0	0	0	157	0	0	23	0	0	0	0	9	0	0	0	0	0	0	1
NA;NA;NA;NA;NA;s__moorei	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;s__europaeus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;s__reuteri	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;s__depolymerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NA;NA;NA;NA;NA;s__lividum	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;s__delbrueckii	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;s__genosp.	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;s__luteus	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;s__alaskensis	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;s__bifida	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;s__influenzae	0	0	0	0	1	2	0	3	0	0	0	11	2	0	4	1	0	0	0	1
