e50d0c183689e4053ccb35f8b29d98c8	e50d0c183689e4053ccb35f8b29da3f1	76612bd9a41885add4f6b0b7683fc62a	858ed4564f11795ec13dda4c10a0d72a	858ed4564f11795ec13dda4c10a0e1f1	e50d0c183689e4053ccb35f8b29dac3b	e50d0c183689e4053ccb35f8b29db9d8	858ed4564f11795ec13dda4c10a0fe2d	76612bd9a41885add4f6b0b768400213	76612bd9a41885add4f6b0b768400cc4	76612bd9a41885add4f6b0b768400e2f	76612bd9a41885add4f6b0b768401727	858ed4564f11795ec13dda4c10a11c73	76612bd9a41885add4f6b0b768402828	88af6472fb03642dd5eaf8cddcc0d7ce	76612bd9a41885add4f6b0b7684037d2	88af6472fb03642dd5eaf8cddcbfaba0	858ed4564f11795ec13dda4c10a1a09d	858ed4564f11795ec13dda4c10a1c38e	858ed4564f11795ec13dda4c10a1d475
Bacteroidota;Bacteroidia;Bacteroidales;f__Rikenellaceae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NA;NA;NA;f__Bradyrhizobiaceae	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Fusobacteriota;Fusobacteriia;Fusobacteriales;f__Leptotrichiaceae	1	0	1811	0	6	1	1	2	0	6	0	1	4969	69	108	20	2	46	163	1
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;f__Neisseriaceae	0	0	0	0	7	2	1	2	0	0	0	0	0	0	2	0	0	0	0	1
Firmicutes_A;Clostridia;Lachnospirales;f__Lachnospiraceae	51	0	0	0	5	1	0	1	1	11	0	7	0	8	1	0	0	0	8	6
Proteobacteria;Gammaproteobacteria;Enterobacterales;f__Pasteurellaceae	0	0	0	0	3	3	0	5	0	0	0	11	2	0	5	1	16	0	0	1
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;f__Burkholderiaceae	0	0	0	0	0	1	716	0	0	1	0	2	0	0	2	0	0	2	0	0
NA;NA;NA;f__[Weeksellaceae]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;f__[Paraprevotellaceae]	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0
Synergistota;Synergistia;Synergistales;f__Dethiosulfovibrionaceae	0	0	0	0	117	3	0	0	0	0	0	4	0	0	0	3	0	0	0	0
Firmicutes;Bacilli;Mycoplasmatales;f__Mycoplasmataceae	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Firmicutes;Bacilli;Erysipelotrichales;f__Erysipelotrichaceae	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfobacterota;Desulfovibrionia;Desulfovibrionales;f__Desulfovibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NA;NA;NA;f__Rs-045	0	0	0	0	0	1	0	0	0	91	0	3	0	0	2760	3700	0	64	575	4468
NA;NA;NA;f__Propionibacteriaceae	0	1	0	0	9	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
NA;NA;NA;f__Methylobacteriaceae	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes;Bacilli;Lactobacillales;f__Enterococcaceae	0	3	0	0	234	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;f__S24-7	0	0	0	0	12	0	0	0	0	182	0	0	6	20	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;Sphingomonadales;f__Sphingomonadaceae	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NA;NA;NA;f__Verrucomicrobiaceae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;f__Oxalobacteraceae	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0
Proteobacteria;Gammaproteobacteria;Pseudomonadales;f__Pseudomonadaceae	5	0	3	0	0	0	735	0	0	0	0	0	0	15	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;Rhizobiales;f__Rhizobiaceae	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;f__Dermabacteraceae	1	2	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;f__Comamonadaceae	1	0	0	0	166	0	0	34	0	0	0	0	9	0	0	1	0	0	0	1
Proteobacteria;Gammaproteobacteria;Xanthomonadales;f__Xanthomonadaceae	0	0	0	0	70	0	0	24	0	0	0	0	32	0	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Enterobacterales;f__Aeromonadaceae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;f__Rhodocyclaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;f__Brevibacteriaceae	0	0	0	0	139	12	0	17	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;Caulobacterales;f__Caulobacteraceae	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;f__Microbacteriaceae	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;f__Erythrobacteraceae	0	0	0	0	27	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
NA;NA;NA;f__Leuconostocaceae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;g__Lactobacillus	137451	15042	47798	10	30659	83616	1502	18653	30580	10554	30	66786	2917	111702	1182	13435	28901	132	9246	15365
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;g__Sutterella	0	0	0	0	0	0	0	0	2	3	0	8	0	4	0	0	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;g__Prevotella	14	8	393	1	6016	157	4	1	16	2886	6	11	1026	353	395	99	244	43	7	102
Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;g__Corynebacterium	20	143	0	0	4551	48	0	0	0	2	0	83	4	2	2	6	0	0	1	0
Firmicutes;Bacilli;Bacillales;Bacillaceae_G;g__Bacillus	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;g__Aerococcus	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0
Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;g__Streptococcus	11	6	3	2	7	29	14	13	6	17	0	7	5	3	19	5	170	0	5	10
Firmicutes_C;Negativicutes;Veillonellales;Dialisteraceae;g__Dialister	6	9	39	2	483	18	1	66	25	101	0	13	342	1040	229	33	57	10	58	109
NA;NA;NA;NA;g__Gardnerella	4	2	4510	0	417	8	176	17332	3565	26368	0	18	15596	6848	6159	5905	0	86	1133	9984
NA;NA;NA;NA;g__Peptostreptococcus	0	0	0	0	3	1	0	0	0	71	0	0	11	1	0	0	0	1	0	0
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;g__Peptoniphilus	3	15	0	0	3182	29	1	0	3	93	1	17	83	10	25	6	18	0	7	2
Actinobacteriota;Actinobacteria;Actinomycetales;Micrococcaceae;g__Rothia	0	1	0	1	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	1
Firmicutes_A;Clostridia;Clostridiales;Clostridiaceae;g__Clostridium	0	4	0	0	46	0	0	0	0	0	0	1	240	0	70	1	0	6	7	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;g__Bacteroides	1	8	0	0	2	0	0	2	1	3	3	8	1	1	0	0	1	1	0	1
Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;g__Campylobacter	0	1	0	0	1040	7	2	0	1	173	0	9	36	70	0	21	36	0	1	1
Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;g__Parabacteroides	9	1	0	0	0	0	0	0	0	1	0	0	0	59	0	0	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;g__Mobiluncus	0	5	0	0	37	0	0	0	0	36	0	1	104	1	0	14	0	3	3	0
Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;g__Fusobacterium	0	0	0	1	0	24	6	4	0	0	0	15	11	1	3	5	0	1	1	1
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;g__Faecalibacterium	48	0	0	0	0	1	0	0	0	1	1	4	1	0	0	0	0	0	0	1
NA;NA;NA;NA;g__Proteus	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Firmicutes_C;Negativicutes;Veillonellales;Veillonellaceae;g__Veillonella	0	0	0	0	5	9	0	0	0	1	0	13	1	6	2	0	0	0	0	1
