MOB.021.Rec.R1.fastq	MOB.022.Rec.R1.fastq	MOB.029.Rec.R1.fastq	MOB.037.Rec.R1.fastq	MOB.055.Rec.R1.fastq	MOB.103.Rec.R1.fastq	MOB.175.Rec.R1.fastq	MOB.195.Rec.R1.fastq	MOB.280.Rec.R1.fastq	MOB.281.Rec.R1.fastq
Actinobacteriota;Actinobacteria;Actinomycetales;f__Brevibacteriaceae	1	0	0	0	0	0	69	0	0	589
Bacteroidota;Bacteroidia;Bacteroidales;f__Porphyromonadaceae	1569	0	0	0	0	0	77	258	0	0
Firmicutes;Bacilli;Staphylococcales;f__Staphylococcaceae	86	11671	4	11	135	5	1914	182	89	531
Firmicutes;Bacilli_A;Paenibacillales;f__Paenibacillaceae	0	0	0	0	0	0	0	0	0	5
Bacteroidota;Bacteroidia;Bacteroidales;f__Bacteroidaceae	8757	0	2973	6702	1497	5533	480	1087	0	306
Firmicutes;Bacilli;Lactobacillales;f__Lactobacillaceae	11100	5569	76330	51994	3043	3303	25557	6726	1606	8741
Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;f__Gastranaerophilaceae	39	0	0	0	0	0	0	0	0	8
Actinobacteriota;Actinobacteria;Corynebacteriales;f__Corynebacteriaceae	920	0	32	39	2192	16	6966	22699	15	21165
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;f__Burkholderiaceae	16	0	0	0	10	0	109	0	0	132
Actinobacteriota;Coriobacteriia;Coriobacteriales;f__Eggerthellaceae	76	0	0	0	358	219	56	0	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;f__Coriobacteriaceae	152	0	0	0	0	0	198	0	0	20
Desulfobacterota;Desulfovibrionia;Desulfovibrionales;f__Desulfovibrionaceae	5	0	0	0	0	0	0	0	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;f__Atopobiaceae	194	0	509	640	7902	11227	21	66	0	13
Actinobacteriota;Actinobacteria;Actinomycetales;f__Dermabacteraceae	0	0	0	0	0	0	32	43	0	203
Firmicutes_C;Negativicutes;Veillonellales;f__Megasphaeraceae	45	0	71	0	1521	3928	20	4	0	4
Proteobacteria;Gammaproteobacteria;Xanthomonadales;f__Xanthomonadaceae	0	0	0	0	0	0	0	0	0	6
Fusobacteriota;Fusobacteriia;Fusobacteriales;f__Fusobacteriaceae	168	0	0	0	0	0	15	0	0	3
Proteobacteria;Alphaproteobacteria;Sphingomonadales;f__Sphingomonadaceae	0	0	0	0	1	0	17	0	0	183
Firmicutes_C;Negativicutes;Veillonellales;f__Dialisteraceae	1578	0	2915	1485	223	433	193	334	0	64
Campylobacterota;Campylobacteria;Campylobacterales;f__Campylobacteraceae	898	0	0	0	0	1	2930	2	0	43
Proteobacteria;Gammaproteobacteria;Enterobacterales;f__Enterobacteriaceae	2	10670	0	0	5	0	70	1	0	1478
Firmicutes;Bacilli;Erysipelotrichales;f__Erysipelotrichaceae	0	0	0	0	5	0	33	6	0	28
Proteobacteria;Gammaproteobacteria;Enterobacterales;f__Pasteurellaceae	0	0	0	0	4	0	5	0	0	7
Proteobacteria;Gammaproteobacteria;Pseudomonadales;f__Moraxellaceae	0	0	0	0	9	4	15	6	1	396
Synergistota;Synergistia;Synergistales;f__Dethiosulfovibrionaceae	16	0	0	0	0	0	389	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;f__DTU089	270	0	0	0	0	1	181	10	0	126
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;f__Neisseriaceae	0	2	0	1	2	0	8	0	0	6
Firmicutes_A;Clostridia;Lachnospirales;f__Anaerotignaceae	6	0	0	0	0	0	14	0	0	0
Firmicutes;Bacilli;Lactobacillales;f__Aerococcaceae	57	0	0	0	1102	110	366	4349	0	435
Firmicutes_C;Negativicutes;Selenomonadales;f__Selenomonadaceae	1	0	0	0	0	0	8	0	0	0
Proteobacteria;Gammaproteobacteria;Enterobacterales;f__Succinivibrionaceae	0	0	0	0	0	0	33	0	0	17
Proteobacteria;Alphaproteobacteria;Rhizobiales;f__Rhizobiaceae	0	0	0	1	7	0	10	0	0	0
Firmicutes_A;Clostridia;Peptostreptococcales;f__Anaerovoracaceae	1995	0	0	0	0	0	139	9	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;f__Bifidobacteriaceae	3768	0	13599	204	25380	24038	533	71	0	165
Firmicutes_A;Clostridia;Eubacteriales;f__Eubacteriaceae	0	0	0	0	0	0	690	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;f__Muribaculaceae	0	0	0	0	0	0	16	0	0	0
Actinobacteriota;Actinobacteria;Corynebacteriales;f__Geodermatophilaceae	0	112	0	0	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;Rhodobacterales;f__Rhodobacteraceae	0	0	0	0	0	0	10	0	0	0
Firmicutes_A;Clostridia;Peptostreptococcales;f__Peptostreptococcaceae	447	0	13	1794	0	8	185	352	1	98
Firmicutes;Bacilli;Erysipelotrichales;f__Erysipelatoclostridiaceae	402	0	0	0	0	0	18	3	0	31
Bacteroidota;Bacteroidia;Bacteroidales;f__Rikenellaceae	21	0	0	0	7	0	47	0	0	25
Firmicutes_A;Clostridia;Tissierellales;f__Ezakiellaceae	6411	0	0	1	0	7	275	1259	0	27
Actinobacteriota;Actinobacteria;Actinomycetales;f__Micrococcaceae	5	0	0	0	78	0	10	32	0	826
Firmicutes_C;Negativicutes;Acidaminococcales;f__Acidaminococcaceae	158	0	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;f__Butyricicoccaceae	85	0	0	0	0	0	18	0	0	9
Euryarchaeota;Methanobacteria;Methanobacteriales;f__Methanobacteriaceae	0	0	0	0	0	0	9	0	0	0
Firmicutes;Bacilli;Haloplasmatales;f__Turicibacteraceae	18	0	0	0	0	0	0	0	0	6
Firmicutes;Bacilli;Lactobacillales;f__Listeriaceae	0	13391	0	0	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;RF32;f__CAG-239	3	0	0	0	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;Rhizobiales;f__Xanthobacteraceae	0	0	0	0	0	0	20	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;f__Marinifilaceae	3	0	0	0	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;Acetobacterales;f__Acetobacteraceae	0	0	0	0	0	0	9	0	0	0
Firmicutes_C;Negativicutes;Veillonellales;f__Veillonellaceae	0	0	0	110	11	0	0	39	0	102
Actinobacteriota;Actinobacteria;Actinomycetales;f__Dermatophilaceae	0	0	0	0	0	0	18	0	0	0
Firmicutes;Bacilli;Staphylococcales;f__Gemellaceae	0	0	0	2	251	0	0	0	0	6
Firmicutes_A;Clostridia;Saccharofermentanales;f__KA00274	0	0	0	0	3980	2200	0	0	0	1
Firmicutes;Bacilli;Bacillales;f__Bacillaceae	0	12846	0	0	0	0	20	0	0	0
