MOB.021.Rec.R1.fastq	MOB.022.Rec.R1.fastq	MOB.029.Rec.R1.fastq	MOB.037.Rec.R1.fastq	MOB.055.Rec.R1.fastq	MOB.103.Rec.R1.fastq	MOB.175.Rec.R1.fastq	MOB.195.Rec.R1.fastq	MOB.280.Rec.R1.fastq	MOB.281.Rec.R1.fastq
Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Faecalibaculum;s__Faecalibaculum_rodentium(RS_GCF_001945535.1)	0	0	0	0	0	0	12	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;Peptoniphilus_A;s__(RS_GCF_001815405.1)	3686	0	4	0	133	6	581	3323	0	511
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;s__(RS_GCF_002265625.1)	0	0	0	0	0	0	8	0	0	0
Proteobacteria;Alphaproteobacteria;RF32;CAG-239;CAG-495;s__(GB_GCA_001917125.1)	3	0	0	0	0	0	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;s__(RS_GCF_002632415.1)	0	0	0	0	0	0	17	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;W5053;s__(RS_GCF_000467935.1)	177	0	0	0	0	0	0	4	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-24;s__CAG-24_sp1(GB_GCA_900066775.1)	48	0	0	0	0	0	21	0	0	9
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Paucibacter;s__(RS_GCF_001477625.1)	0	0	0	0	0	0	14	0	0	0
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;s__Lactobacillus_jensenii(RS_GCF_001936235.1)	0	0	0	4954	0	0	27	469	0	83
Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-110;s__(GB_GCA_002393625.1)	15	0	0	0	0	0	11	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus_D;s__Ruminococcus_D_bicirculans(GB_GCA_900066405.1)	13	0	0	0	0	0	10	0	0	5
Firmicutes_A;Clostridia;Oscillospirales;DTU089;Ruminococcus_E;s__(RS_GCF_900100595.1)	0	0	0	0	0	0	49	0	0	37
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;s__Subdoligranulum_variabile(RS_GCF_000157955.1)	89	0	0	0	0	0	139	7	0	31
Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter;s__Odoribacter_splanchnicus(RS_GCF_002159415.1)	3	0	0	0	0	0	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces_C;s__Actinomyces_C_urinae(RS_GCF_900119695.1)	42	0	0	0	0	0	14	17	0	0
Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;s__Corynebacterium_urinapleomorphum(RS_GCF_900155535.1)	0	0	0	0	0	0	0	488	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__(RS_GCF_900232825.1)	1284	0	0	0	0	2	50	39	0	0
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;s__(RS_GCF_000967825.1)	0	0	0	0	0	0	10	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-56;s__(GB_GCA_900066065.1)	40	0	0	0	0	0	0	0	0	3
Firmicutes_A;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Intestinibacter;s__Intestinibacter_bartlettii(RS_GCF_000154445.1)	161	0	0	0	0	0	20	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;s__Coprococcus_sp1(GB_GCA_900066115.1)	0	0	0	0	0	0	0	0	0	5
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__Anaerococcus_tetradius(RS_GCF_001546165.1)	643	0	0	2514	141	257	10	1309	2	29
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__Anaerococcus_prevotii(RS_GCF_000024105.1)	21	0	0	0	20	0	15	213	0	0
Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Zag1;s__Zag1_sp3(GB_GCA_001765415.1)	0	0	0	0	0	0	0	0	0	8
Actinobacteriota;Actinobacteria;Actinomycetales;Brevibacteriaceae;Brevibacterium;s__Brevibacterium_ravenspurgense(RS_GCF_001584355.1)	0	0	0	0	0	0	69	0	0	589
Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olegusella;s__Olegusella_massiliensis(RS_GCF_900078545.1)	35	0	0	0	0	0	21	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;s__Bifidobacterium_moukalabense(RS_GCF_000522505.1)	0	0	0	54	0	0	1	15	0	0
Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;s__Corynebacterium_glaucum(RS_GCF_002287505.1)	0	0	0	0	6	0	547	340	0	311
Firmicutes_C;Negativicutes;Veillonellales;Veillonellaceae;Veillonella_A;s__Veillonella_A_seminalis(RS_GCF_000315505.1)	0	0	0	0	11	0	0	26	0	102
Actinobacteriota;Actinobacteria;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;s__Bifidobacterium_vaginale_C(RS_GCF_000263595.1)	2371	0	7930	0	10927	16056	22	0	0	23
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia_A;s__Facklamia_A_ignava(RS_GCF_000301055.1)	1	0	0	0	0	0	94	0	0	32
Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella_A;s__Gemella_A_asaccharolytica(RS_GCF_001553005.1)	0	0	0	2	251	0	0	0	0	6
Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olegusella;s__(RS_GCF_000466405.1)	0	0	0	0	7902	11227	0	0	0	7
Firmicutes_A;Clostridia;Oscillospirales;DTU089;DTU053;s__(GB_GCA_001512765.1)	6	0	0	0	0	1	17	0	0	7
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus;s__Mobiluncus_curtisii(RS_GCF_000185445.1)	127	0	0	0	77	0	251	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;s__(GB_GCA_900066145.1)	10	0	0	0	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Pelistega;s__Pelistega_indica(RS_GCF_900099475.1)	0	0	0	0	0	0	0	0	0	18
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;s__Dorea_formicigenerans(RS_GCF_000169235.1)	22	0	0	0	0	0	55	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;DTU089;Ruminococcus_E;s__Ruminococcus_E_bromii(GB_GCA_900067015.1)	242	0	0	0	0	0	97	10	0	82
Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;s__Alistipes_putredinis(RS_GCF_000154465.1)	17	0	0	0	0	0	5	0	0	0
Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Luteimonas;s__Luteimonas_abyssi(RS_GCF_001482195.1)	0	0	0	0	0	0	0	0	0	6
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Dolosicoccus;s__Dolosicoccus_paucivorans(RS_GCF_900100125.1)	0	0	0	0	1	0	0	64	0	17
Firmicutes_A;Clostridia;Saccharofermentanales;KA00274;KA00274;s__(RS_GCF_001552885.1)	0	0	0	0	3980	2200	0	0	0	1
Firmicutes_C;Negativicutes;Veillonellales;Megasphaeraceae;Anaeroglobus;s__Anaeroglobus_geminatus(RS_GCF_000239275.1)	0	0	0	0	0	0	12	0	0	0
Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;s__Sneathia_amnii(RS_GCF_000973085.1)	0	0	0	0	2122	185	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;s__Bacteroides_finegoldii(RS_GCF_000156195.1)	0	0	0	0	4	0	11	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__Anaerococcus_provencensis(RS_GCF_000312365.2)	23	0	0	0	14	0	684	1276	0	79
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides_B;s__Bacteroides_B_dorei(RS_GCF_001640865.1)	42	0	0	0	0	0	13	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;s__Prevotella_buccalis_A(RS_GCF_000177075.1)	297	0	0	0	0	0	13	226	0	11
Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;s__Porphyromonas_somerae(RS_GCF_001815465.1)	151	0	0	0	0	0	0	7	0	0
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruthenibacterium;s__Ruthenibacterium_lactatiformans(RS_GCF_000949455.1)	0	0	0	1	0	0	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;s__Bifidobacterium_adolescentis_A(RS_GCF_000737885.1)	45	0	0	0	0	0	232	0	0	20
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;s__(RS_GCF_900120295.1)	0	0	0	0	0	0	25	0	0	0
Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;s__(RS_GCF_001767255.1)	128	0	0	0	5	0	0	1149	2	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Sutterella;s__Sutterella_sp3(RS_GCF_001578585.1)	0	0	0	0	0	0	0	0	0	3
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;s__Bacteroides_eggerthii(RS_GCF_000273465.1)	6	0	0	0	0	0	7	0	0	4
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Bittarella;s__(GB_GCA_900066655.1)	44	0	0	0	5	0	74	0	0	18
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;s__Roseburia_intestinalis(GB_GCA_000210655.1)	41	0	0	0	0	0	27	0	0	11
Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;s__Sphingomonas_adhaesiva(RS_GCF_002374855.1)	0	0	0	0	0	0	0	0	0	39
Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;s__Corynebacterium_atypicum(RS_GCF_000732945.1)	0	0	0	0	0	0	261	553	0	76
Actinobacteriota;Actinobacteria;Actinomycetales;Dermabacteraceae;Dermabacter;s__Dermabacter_hominis(RS_GCF_001570785.1)	0	0	0	0	0	0	0	43	0	4
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;s__Bacteroides_rodentium(GB_GCA_000614125.1)	9	0	0	0	0	0	0	0	0	5
Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Lawsonella;s__Lawsonella_clevelandensis(RS_GCF_001293125.1)	127	0	0	0	10	0	22	15	0	60
Firmicutes_C;Negativicutes;Veillonellales;Megasphaeraceae;Anaeroglobus;s__(RS_GCF_000478965.1)	32	0	71	0	0	0	0	0	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium_B;s__Atopobium_B_rimae(RS_GCF_000174015.1)	0	0	0	530	0	0	0	43	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__(RS_GCF_900128425.1)	4	0	0	0	0	0	98	665	0	0
Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter_B;s__Campylobacter_B_ureolyticus(RS_GCF_001190755.1)	124	0	0	0	0	0	87	2	0	2
Actinobacteriota;Actinobacteria;Actinomycetales;Dermabacteraceae;Dermabacter;s__Dermabacter_hominis(RS_GCF_001807345.1)	0	0	0	0	0	0	21	0	0	52
Firmicutes_C;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella;s__Mitsuokella_jalaludinii(RS_GCF_001404615.1)	1	0	0	0	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Dakarella;s__Dakarella_massiliensis(RS_GCF_001182045.1)	4	0	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Christensenellales;CAG-138;PeH17;s__PeH17_sp1(GB_GCA_000435055.1)	22	0	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Ruminococcus_B;s__Ruminococcus_B_lactaris(RS_GCF_000507785.1)	16	0	0	0	0	0	5	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides_B;s__Bacteroides_B_massiliensis(RS_GCF_000382445.1)	0	0	0	0	4	0	38	0	0	32
Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;s__Corynebacterium_glucuronolyticum(RS_GCF_000159595.1)	0	0	0	0	0	0	0	424	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Bifidobacteriaceae;Alloscardovia;s__Alloscardovia_macacae_A(RS_GCF_002259705.1)	0	0	0	5	0	0	0	1	0	0
Firmicutes_A;Clostridia;Tissierellales;Ezakiellaceae;Ezakiella;s__(RS_GCF_000758845.1)	2989	0	0	0	0	0	161	1130	0	10
Firmicutes_A;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Terrisporobacter;s__Terrisporobacter_glycolicus(RS_GCF_000373865.1)	45	0	13	1794	0	8	0	348	1	52
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Massilia;s__Massilia_sp3(RS_GCF_001426525.1)	0	0	0	0	0	0	3	0	0	11
Firmicutes_C;Negativicutes;Veillonellales;Megasphaeraceae;28L;s__28L_sp1(RS_GCF_000177555.1)	0	0	0	0	1521	3928	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Arcanobacterium_A;s__Arcanobacterium_A_urinimassiliense(RS_GCF_900119495.1)	102	0	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Levyella;s__Levyella_massiliensis(RS_GCF_000308275.2)	4892	0	0	0	0	0	21	140	0	1
Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;s__Oscillibacter_sp6(GB_GCA_900066625.1)	1	0	0	0	0	0	0	0	0	0
Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;s__Corynebacterium_kroppenstedtii_A(RS_GCF_001552955.1)	0	0	0	0	0	0	0	0	0	187
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;s__(RS_GCF_000758925.1)	0	0	0	0	174	518	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;s__Porphyromonas_asaccharolytica(RS_GCF_000212375.1)	444	0	0	0	0	0	31	0	0	0
Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium_D;s__Chryseobacterium_D_taklimakanense(RS_GCF_900187185.1)	0	0	0	0	0	0	0	0	0	46
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus_H;s__Lactobacillus_H_fermentum(RS_GCF_001742205.1)	0	5548	0	0	0	0	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;s__Prevotella_pleuritidis(RS_GCF_000613725.1)	0	0	0	0	0	0	0	0	0	3
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;s__(GB_GCA_900066505.1)	15	0	0	0	0	0	5	1	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;s__Lachnospira_eligens_A(RS_GCF_000146185.1)	227	0	0	1	0	0	3	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Ndongobacter;s__Ndongobacter_massiliensis(RS_GCF_900120375.1)	0	0	0	0	0	0	6	0	0	0
Firmicutes;Bacilli;Staphylococcales;Salinicoccaceae;Jeotgalicoccus;s__Jeotgalicoccus_marinus(RS_GCF_000425825.1)	0	0	0	0	0	0	0	0	0	12
Firmicutes_A;Clostridia;Tissierellales;Ezakiellaceae;Ezakiella;s__Ezakiella_massiliensis(RS_GCF_900120165.1)	24	0	0	0	0	0	0	41	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces_B;s__Actinomyces_B_turicensis_A(RS_GCF_002847545.1)	20	0	0	0	0	0	0	3	0	0
Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Xanthobacter;s__Xanthobacter_sp1(RS_GCF_000702385.1)	0	0	0	0	0	0	11	0	0	0
Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;UBA1191;s__(GB_GCA_900066305.1)	7	0	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Saccharofermentanales;Mageeibacillaceae;Mageeibacillus;s__Mageeibacillus_indolicus(RS_GCF_000025225.2)	0	0	0	0	195	336	0	0	0	0
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;s__Aerococcus_christensenii(RS_GCF_001543105.1)	0	0	0	0	1084	110	12	0	0	0
Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae;Jonquetella;s__Jonquetella_anthropi(RS_GCF_000237805.1)	0	0	0	0	0	0	289	0	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;s__Olsenella_urininfantis(RS_GCF_900155635.1)	82	0	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;TF01-11;s__(RS_GCF_001414325.1)	11	0	0	0	0	0	12	0	0	0
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;s__Aerococcus_urinaehominis(RS_GCF_001543245.1)	0	0	0	0	0	0	21	0	0	58
Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae_B;Mycoplasma_D;s__Mycoplasma_D_hominis(RS_GCF_000935875.1)	0	0	0	0	106	0	0	0	0	0
Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Vaginella;s__Vaginella_massiliensis(RS_GCF_900089075.1)	0	0	0	0	0	0	0	0	0	10
Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Slackia;s__Slackia_exigua(RS_GCF_000293015.1)	1	0	0	0	0	0	0	0	0	0
