MOB.021.Vag.R1.fastq	MOB.022.Vag.R1.fastq	MOB.029.Vag.R1.fastq	MOB.037.Vag.R1.fastq	MOB.055.Vag.R1.fastq	MOB.103.Vag.R1.fastq	MOB.175.Vag.R1.fastq	MOB.195.Vag.R1.fastq	MOB.280.Vag.R1.fastq	MOB.281.Vag.R1.fastq
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;Urinacoccus;s__(RS_GCF_000221565.1)	4	67	0	0	281	713	36	81	4	209
Firmicutes;Bacilli_A;Paenibacillales;Paenibacillaceae;Paenibacillus_G;s__Paenibacillus_G_tyrfis(RS_GCF_900188505.1)	0	0	0	0	14	6	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;s__Prevotella_sp17(RS_GCF_000834015.1)	0	12	0	0	0	0	0	0	0	0
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;s__Lactobacillus_iners(RS_GCF_000177755.1)	396	0	0	44	320	69	142	76	0	2416
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter;s__Fusicatenibacter_saccharivorans(RS_GCF_001405555.1)	188	167	0	17674	55	323	10	89	5	5
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;Peptoniphilus_A;s__(RS_GCF_001553125.1)	2132	255	5	0	604	8357	103	2080	432	780
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__(RS_GCF_001811125.1)	1836	1658	2	11	80	4640	9422	3	392	0
Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Zag111;s__(GB_GCA_001899395.1)	0	68	0	0	0	17	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;UBA6382;s__UBA6382_sp4(GB_GCA_002437625.1)	0	43	0	0	0	0	0	8	0	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Parasutterella;s__(GB_GCA_000980495.1)	0	0	0	548	0	89	0	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;Neofamilia;s__Neofamilia_massiliensis(RS_GCF_001299475.1)	0	0	0	0	436	0	0	0	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;s__Collinsella_aerofaciens_A(RS_GCF_002736145.1)	259	943	0	1527	252	232	29	388	21	10
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;Peptoniphilus_C;s__Peptoniphilus_C_coxii(RS_GCF_001553115.1)	19	225	0	0	73	51	498	183	5	0
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;Peptoniphilus_C;s__Peptoniphilus_C_urinimassiliensis(RS_GCF_900155585.1)	631	1206	0	1	225	2386	324	661	41	220
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus_C;s__Ruminococcus_C_callidus(RS_GCF_000468015.1)	7	397	0	0	0	97	1	138	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotellamassilia;s__Prevotellamassilia_timonensis(RS_GCF_900106785.1)	0	545	0	1878	43	0	41	0	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;UBA1382;s__(RS_GCF_002159625.1)	0	0	0	0	0	4	0	4	0	9
Verrucomicrobiota;Lentisphaeria;UBA1784;GWF2-45-14;GWF2-44-16;s__(GB_GCA_001803225.1)	0	0	0	7	0	0	0	2	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Dermabacteraceae;Brachybacterium;s__Brachybacterium_muris(RS_GCF_000338055.1)	0	0	0	0	0	0	38	8	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Lagierella;s__Lagierella_massiliensis(RS_GCF_001407835.1)	307	71	0	0	0	1675	0	16	48	20
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;s__Prevotella_bergensis(RS_GCF_000160535.1)	0	3	0	0	0	9	0	0	0	0
Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas_A;s__(RS_GCF_900109775.1)	0	0	0	0	0	0	0	0	0	6
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__Anaerococcus_mediterraneensis(RS_GCF_900128415.1)	336	242	1	0	1630	1226	29	711	28	99
Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium_A;s__(RS_GCF_900015295.1)	0	0	0	492	0	0	0	0	0	0
Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter_B;s__Campylobacter_B_gracilis(RS_GCF_000175875.1)	0	0	0	0	49	0	0	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Eubacterium_E;s__Eubacterium_E_hallii(RS_GCF_000173975.1)	77	169	0	5967	20	64	3	884	10	9
Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Anaerorhabdus;s__Anaerorhabdus_furcosa(RS_GCF_900167375.1)	0	0	0	21	0	0	0	0	0	0
Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Allobaculum;s__Allobaculum_stercoricanis(RS_GCF_000384195.1)	0	0	0	371	0	0	0	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__Anaerococcus_rubeinfantis(RS_GCF_001487145.1)	0	33	0	0	0	19	0	0	0	0
Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae;Pyramidobacter;s__(RS_GCF_002007215.1)	0	0	0	0	0	72	0	0	0	203
Firmicutes_A;Clostridia;Oscillospirales;DTU089;Eubacterium_R;s__Eubacterium_R_sp2(GB_GCA_000980395.1)	4	95	0	176	0	0	0	34	0	0
Campylobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter_B;s__Helicobacter_B_canis(RS_GCF_000507865.1)	0	0	0	11	0	0	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;s__Prevotella_copri_A(RS_GCF_002224675.1)	454	10306	0	5874	1632	1774	51	2423	0	2
Firmicutes_A;Clostridia;Clostridiales;Clostridiaceae;Clostridium;s__(RS_GCF_000753455.2)	10	808	0	7274	0	65	0	70	1	13
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus_F;s__Ruminococcus_F_champanellensis(RS_GCF_000210095.1)	0	36	0	0	0	17	0	78	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__(RS_GCF_001182725.1)	0	17	18	0	41	879	0	39	45	506
Firmicutes_C;Negativicutes;Veillonellales;Megasphaeraceae;Megasphaera;s__(RS_GCF_001546855.1)	0	118	0	90	0	0	0	0	0	0
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;s__Lactobacillus_helveticus(RS_GCF_001308285.1)	0	0	0	10	0	0	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides_A;s__Bacteroides_A_plebeius(RS_GCF_000187895.1)	0	0	0	597	0	0	0	205	0	0
Firmicutes_A;Clostridia;Lachnospirales;Anaerotignaceae;Anaerotignum;s__(RS_GCF_001304995.1)	0	0	0	34	0	0	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;s__Bacteroides_cellulosilyticus(RS_GCF_000526555.1)	3	0	0	0	0	4	0	0	23	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Parvimonas;s__Parvimonas_micra(RS_GCF_000154405.1)	0	0	0	7	0	63	56	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;GCA-900066135;s__(GB_GCA_900066135.1)	12	25	0	880	0	9	0	95	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;s__(RS_GCF_001940165.1)	120	324	0	11540	154	91	30	803	5	0
Proteobacteria;Gammaproteobacteria;Enterobacterales;Succinivibrionaceae;Succinivibrio;s__Succinivibrio_dextrinosolvens_B(RS_GCF_900116345.1)	0	2231	0	1055	1041	0	47	17	0	7
Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Aquamicrobium;s__Aquamicrobium_sp1(RS_GCF_001705425.1)	0	0	0	0	8	0	12	0	0	7
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;s__Prevotella_timonensis(RS_GCF_000762405.1)	126	15	13	0	181	219	3	0	22	418
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;Peptoniphilus;s__Peptoniphilus_obesi(RS_GCF_000311865.1)	3	446	0	0	146	472	0	397	2	109
Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;s__(RS_GCF_001428565.1)	0	0	0	0	0	0	6	0	0	0
Firmicutes;Bacilli;RF39;UBA660;UBA660;s__(GB_GCA_002299475.1)	0	0	0	0	0	0	0	7	0	0
Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Mogibacterium;s__(GB_GCA_001513255.1)	0	0	0	0	0	96	0	30	0	478
Actinobacteriota;Actinobacteria;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;s__Bifidobacterium_vaginalis_A(RS_GCF_001563665.1)	0	0	0	0	0	199	140	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;s__(RS_GCF_001808555.1)	34	38	0	0	138	582	0	220	0	58
Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;DNF00809;s__(RS_GCF_001552935.1)	0	0	0	0	0	13	8	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-81;s__(GB_GCA_900066055.1)	38	65	0	1164	15	51	0	88	4	2
Firmicutes_A;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium_O;s__Eubacterium_O_barkeri(RS_GCF_900107125.1)	3	0	0	0	0	3	0	0	0	226
Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;s__Novosphingobium_panipatense(RS_GCF_002149965.1)	0	0	0	0	0	0	0	0	0	11
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;s__Lactobacillus_johnsonii(RS_GCF_000091405.1)	0	99	10	0	0	0	0	0	0	48
Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;s__Muribaculum_intestinale(RS_GCF_002201515.1)	0	0	0	111	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Aliihoeflea;s__(RS_GCF_000497755.1)	0	0	0	0	10	0	0	0	0	0
Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;s__Corynebacterium_riegelii(RS_GCF_001263755.1)	0	0	0	0	3352	1	0	0	0	0
Firmicutes_A;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Romboutsia;s__Romboutsia_timonensis(RS_GCF_900106845.1)	75	307	0	8649	40	15	0	152	0	7
Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;UBA2883;s__UBA2883_sp1(GB_GCA_002481545.1)	78	199	0	0	0	0	0	0	0	208
Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Catenibacterium;s__Catenibacterium_mitsuokai(RS_GCF_000173795.1)	404	946	0	1951	313	0	38	840	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;s__(RS_GCF_000285855.1)	199	1831	0	32224	241	747	53	1248	13	9
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;s__(RS_GCF_002810365.1)	0	0	0	0	0	0	0	0	0	12
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Eubacterium_E;s__Eubacterium_E_hallii_A(RS_GCF_900209925.1)	62	138	0	1298	20	56	3	192	3	0
Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes_A;s__Alistipes_A_ihumii(RS_GCF_000321205.1)	4	0	0	100	0	0	0	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;s__Faecalibacterium_prausnitzii(RS_GCF_001406355.1)	142	642	0	442	109	420	77	1524	10	0
Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae;Jonquetella;s__Jonquetella_anthropi(RS_GCF_000468895.1)	0	0	0	0	0	6	0	0	0	762
Firmicutes_A;Clostridia;Tissierellales;Ezakiellaceae;Fenollaria;s__Fenollaria_massiliensis(RS_GCF_000312505.2)	2607	1632	2	0	1069	259	19	4536	49	442
Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Slackia_A;s__Slackia_A_piriformis(RS_GCF_000296445.1)	0	0	0	17	0	0	0	0	0	0
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia;s__Facklamia_hominis(RS_GCF_000301035.1)	37	191	1	1	127	94	311	25	21	27
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter;s__Enhydrobacter_aerosaccus(RS_GCF_001679275.1)	0	0	0	2	0	0	0	0	0	24
Actinobacteriota;Actinobacteria;Actinomycetales;Micrococcaceae;Pseudoglutamicibacter;s__Pseudoglutamicibacter_albus(RS_GCF_002847605.1)	0	0	0	0	355	0	0	0	0	10
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Parvimonas;s__(RS_GCF_001553085.1)	0	13	0	0	0	0	0	0	27	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;s__Bacteroides_ovatus(RS_GCF_001314995.1)	19	0	0	1267	0	3	0	0	2	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Senegalimassilia;s__Senegalimassilia_anaerobia(RS_GCF_000236865.1)	0	101	0	85	53	45	9	29	3	0
Firmicutes;Bacilli;RF39;UBA660;CAG-302;s__CAG-302_sp2(GB_GCA_002375205.1)	0	18	0	0	0	0	0	27	0	0
Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;Succiniclasticum;s__Succiniclasticum_ruminis_A(RS_GCF_900112895.1)	0	2	0	0	0	5	0	2	0	41
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__Anaerococcus_octavius(RS_GCF_002847745.1)	0	967	0	0	1115	6	714	161	0	138
Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;s__Brevundimonas_sp8(RS_GCF_000318405.1)	0	0	0	0	13	0	0	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;s__Lachnospira_rogosae(RS_GCF_001405835.1)	9	58	0	2333	25	24	0	65	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides_A;s__Bacteroides_A_coprophilus(RS_GCF_001315785.1)	0	0	0	244	0	0	0	125	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__Anaerococcus_hydrogenalis(RS_GCF_000173355.1)	0	981	0	0	3	11	24	0	2	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-65;s__CAG-65_sp3(GB_GCA_900066565.1)	7	83	0	3912	0	43	0	435	3	0
Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Morganella;s__Morganella_morganii(RS_GCF_000286435.2)	0	0	0	821	0	0	0	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum;s__Agathobaculum_sp1(GB_GCA_900066795.1)	54	82	0	3176	38	125	4	214	4	0
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;Peptoniphilus_A;s__(RS_GCF_900099555.1)	109	760	2	2	270	291	0	518	16	2241
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;s__(GB_GCA_900066165.1)	76	128	0	4125	11	65	15	274	13	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;s__(RS_GCF_000479005.1)	0	516	0	0	0	33	4	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;s__(RS_GCF_900086625.1)	0	23	0	0	0	14	0	8	0	0
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;Peptoniphilus_B;s__(RS_GCF_000478985.1)	12	119	0	0	27	282	0	109	3	404
Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Mogibacterium;s__Mogibacterium_timidum(RS_GCF_000525775.1)	182	465	0	0	29	162	0	262	10	49
Firmicutes_A;Clostridia;Oscillospirales;Butyricicoccaceae;Intestinibacillus;s__Intestinibacillus_massiliensis(RS_GCF_900155735.1)	0	9	0	0	0	23	0	0	0	0
Firmicutes;Bacilli;Haloplasmatales;Turicibacteraceae;Turicibacter;s__Turicibacter_sanguinis(RS_GCF_001404715.1)	0	23	0	3861	73	1	0	76	0	0
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;Peptoniphilus_A;s__(RS_GCF_001815405.1)	0	5102	0	5	3979	7220	5564	1167	176	118
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;s__(RS_GCF_002265625.1)	0	205	0	0	0	114	0	0	0	0
Proteobacteria;Alphaproteobacteria;RF32;CAG-239;CAG-495;s__(GB_GCA_001917125.1)	0	0	0	58	0	0	0	14	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Gordonibacter;s__Gordonibacter_urolithinfaciens(RS_GCF_002159895.1)	0	0	0	14	0	0	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;s__(RS_GCF_002632415.1)	16	0	0	1955	0	0	0	24	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;W5053;s__(RS_GCF_000467935.1)	0	0	0	0	0	192	0	42	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-24;s__CAG-24_sp1(GB_GCA_900066775.1)	48	22	0	2847	0	16	0	134	0	0
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;s__Lactobacillus_jensenii(RS_GCF_001936235.1)	0	3	0	0	3	0	0	0	0	78
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;s__Lactobacillus_delbrueckii(RS_GCF_002278095.1)	0	0	0	34	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;s__Brevundimonas_bacteroides(RS_GCF_000701445.1)	0	0	0	0	0	0	39	0	0	0
Firmicutes;Bacilli;RF39;UBA660;CAG-877;s__(GB_GCA_002369415.1)	2	4	0	0	0	14	6	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-110;s__(GB_GCA_002393625.1)	10	83	0	620	0	8	9	279	1	10
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus_D;s__Ruminococcus_D_bicirculans(GB_GCA_900066405.1)	1	0	0	1907	30	2	8	29	3	0
Firmicutes_A;Clostridia;Oscillospirales;DTU089;Ruminococcus_E;s__(RS_GCF_900100595.1)	25	0	0	11167	10	0	0	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;s__Subdoligranulum_variabile(RS_GCF_000157955.1)	55	668	0	8019	114	228	58	692	16	0
Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter;s__Odoribacter_splanchnicus(RS_GCF_002159415.1)	6	1	0	132	0	2	0	40	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces_C;s__Actinomyces_C_urinae(RS_GCF_900119695.1)	10	0	0	0	0	17	0	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__(RS_GCF_900232825.1)	0	0	0	0	54	656	0	609	0	5
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;s__(RS_GCF_000967825.1)	0	0	0	9	0	0	101	0	0	10
Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas;s__(RS_GCF_000245075.1)	0	0	0	0	0	0	3	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-56;s__(GB_GCA_900066065.1)	52	13	0	363	0	55	0	85	0	0
Firmicutes_A;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Intestinibacter;s__Intestinibacter_bartlettii(RS_GCF_000154445.1)	7	632	0	4051	51	1	0	383	0	4
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;s__Coprococcus_sp1(GB_GCA_900066115.1)	53	106	0	0	22	37	0	3	2	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__Anaerococcus_tetradius(RS_GCF_001546165.1)	59	5104	0	0	11	666	2322	706	50	0
Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Butyricimonas;s__(RS_GCF_002161485.1)	4	0	0	0	0	0	0	9	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__Anaerococcus_prevotii(RS_GCF_000024105.1)	8	1507	0	0	0	7	397	200	0	25
Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Zag1;s__Zag1_sp3(GB_GCA_001765415.1)	0	10	0	427	0	0	0	172	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Brevibacteriaceae;Brevibacterium;s__Brevibacterium_ravenspurgense(RS_GCF_001584355.1)	0	0	0	0	513	0	0	0	0	101
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;s__Prevotella_stercorea(RS_GCF_000235885.1)	0	239	0	0	0	0	0	0	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olegusella;s__Olegusella_massiliensis(RS_GCF_900078545.1)	23	9	1	0	0	9	0	0	3	439
Actinobacteriota;Actinobacteria;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;s__Bifidobacterium_moukalabense(RS_GCF_000522505.1)	0	1	0	0	0	0	0	0	0	27
Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Coprobacillus;s__Coprobacillus_cateniformis(RS_GCF_000269565.1)	33	0	0	5	0	0	0	2	0	0
Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;s__Corynebacterium_glaucum(RS_GCF_002287505.1)	0	25	0	0	0	5	76	102	0	71
Firmicutes_C;Negativicutes;Veillonellales;Veillonellaceae;Veillonella_A;s__Veillonella_A_seminalis(RS_GCF_000315505.1)	0	93	0	0	127	3	2	12	4	0
Actinobacteriota;Actinobacteria;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;s__Bifidobacterium_vaginale_C(RS_GCF_000263595.1)	0	0	0	0	0	1072	931	0	0	0
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia_A;s__Facklamia_A_ignava(RS_GCF_000301055.1)	0	10	0	0	13	3	0	0	0	38
Firmicutes;Bacilli;RF39;UBA660;CAG-878;s__(GB_GCA_000432255.1)	0	7	0	0	0	0	0	0	0	0
Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella_A;s__Gemella_A_asaccharolytica(RS_GCF_001553005.1)	0	2	0	40	0	0	0	0	0	9
Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter_A;s__Campylobacter_A_concisus_A(RS_GCF_000017725.2)	0	0	0	6	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Porphyrobacter_A;s__Porphyrobacter_A_mercurialis(RS_GCF_000802385.1)	0	0	0	0	0	0	70	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Massilioclostridium;s__Massilioclostridium_coli(RS_GCF_900095865.1)	0	0	0	200	0	0	0	0	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olegusella;s__(RS_GCF_000466405.1)	0	0	0	0	0	897	390	0	0	0
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;s__Acinetobacter_ursingii(RS_GCF_000368825.1)	0	0	0	0	0	0	0	0	0	100
Deferribacterota;Deferribacteres;Deferribacterales;Mucispirillaceae;Mucispirillum;s__Mucispirillum_schaedleri(RS_GCF_000487995.1)	0	0	0	6	0	0	0	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;DTU089;DTU053;s__(GB_GCA_001512765.1)	53	142	0	1440	9	40	6	0	0	3
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus;s__Mobiluncus_curtisii(RS_GCF_000185445.1)	358	192	0	0	7	25	8	201	0	439
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;s__(GB_GCA_900066145.1)	0	36	0	56	0	74	0	6	3	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Pelistega;s__Pelistega_indica(RS_GCF_900099475.1)	0	0	0	0	157	0	0	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;s__Dorea_formicigenerans(RS_GCF_000169235.1)	70	404	0	760	52	73	0	173	0	0
Elusimicrobiota;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;UBA1436;s__(GB_GCA_002432025.1)	0	3	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;DTU089;Ruminococcus_E;s__Ruminococcus_E_bromii(GB_GCA_900067015.1)	487	758	0	19817	65	171	63	1942	8	6
Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;s__Alistipes_putredinis(RS_GCF_000154465.1)	31	0	0	955	0	0	0	33	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;s__(RS_GCF_900155425.1)	0	8	0	0	0	0	0	23	0	0
Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Luteimonas;s__Luteimonas_abyssi(RS_GCF_001482195.1)	0	0	0	0	7	0	0	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Clostridium_AJ;s__(RS_GCF_000177015.3)	0	0	0	36	0	1	4	0	0	13
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Dolosicoccus;s__Dolosicoccus_paucivorans(RS_GCF_900100125.1)	0	0	0	0	189	0	39	0	0	1
Firmicutes_A;Clostridia;Saccharofermentanales;KA00274;KA00274;s__(RS_GCF_001552885.1)	0	0	0	0	0	141	177	0	0	0
Firmicutes_C;Negativicutes;Veillonellales;Megasphaeraceae;Anaeroglobus;s__Anaeroglobus_geminatus(RS_GCF_000239275.1)	0	0	0	0	0	0	0	2	0	314
Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;s__Sneathia_amnii(RS_GCF_000973085.1)	0	0	0	0	0	18	144	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;s__Bacteroides_finegoldii(RS_GCF_000156195.1)	0	0	0	678	0	5	0	12	0	2
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__Anaerococcus_provencensis(RS_GCF_000312365.2)	4	2961	0	0	1296	27	215	201	1	71
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides_B;s__Bacteroides_B_dorei(RS_GCF_001640865.1)	100	25	0	519	0	0	0	174	0	0
