MOB.021.Vag.R1.fastq	MOB.022.Vag.R1.fastq	MOB.029.Vag.R1.fastq	MOB.037.Vag.R1.fastq	MOB.055.Vag.R1.fastq	MOB.103.Vag.R1.fastq	MOB.175.Vag.R1.fastq	MOB.195.Vag.R1.fastq	MOB.280.Vag.R1.fastq	MOB.281.Vag.R1.fastq
Synergistota;Synergistia;Synergistales;f__Dethiosulfovibrionaceae	0	0	0	0	0	78	0	0	0	2631
Firmicutes_A;Clostridia;Oscillospirales;f__DTU089	588	995	0	32786	84	211	69	1976	8	9
Campylobacterota;Campylobacteria;Campylobacterales;f__Helicobacteraceae	0	0	0	11	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;f__Neisseriaceae	1	0	0	55	0	0	11	0	2	0
Firmicutes_A;Clostridia;Lachnospirales;f__Anaerotignaceae	19	13	0	158	0	16	0	21	0	3
Firmicutes;Bacilli;Lactobacillales;f__Aerococcaceae	37	202	1	1	3612	116	727	41	22	116
Firmicutes_C;Negativicutes;Selenomonadales;f__Selenomonadaceae	7	658	0	1214	82	0	24	0	0	0
Proteobacteria;Gammaproteobacteria;Enterobacterales;f__Succinivibrionaceae	0	2231	0	1055	1041	0	47	17	0	7
Proteobacteria;Alphaproteobacteria;Rhizobiales;f__Rhizobiaceae	0	0	0	0	18	0	12	0	0	25
Actinobacteriota;Actinobacteria;Propionibacteriales;f__Nocardioidaceae	0	0	0	0	0	0	6	0	0	0
Firmicutes;Bacilli;RF39;f__UBA660	2	29	0	14	0	14	6	44	0	0
Firmicutes_A;Clostridia;Peptostreptococcales;f__Anaerovoracaceae	689	832	0	236	57	503	9	915	11	1215
Actinobacteriota;Actinobacteria;Actinomycetales;f__Bifidobacteriaceae	1477	818	27	42739	646	1757	2843	4029	43	118
Firmicutes_A;Clostridia;Eubacteriales;f__Eubacteriaceae	3	0	0	0	0	3	0	0	0	226
Bacteroidota;Bacteroidia;Bacteroidales;f__Muribaculaceae	0	0	0	111	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;Rhodobacterales;f__Rhodobacteraceae	0	0	0	9	0	2	227	0	0	10
Firmicutes_A;Clostridia;Peptostreptococcales;f__Peptostreptococcaceae	4177	1123	3	21372	1443	699	5	735	1708	11
Firmicutes;Bacilli;Erysipelotrichales;f__Erysipelatoclostridiaceae	439	957	0	6641	313	275	38	846	0	0
Firmicutes_A;Clostridia;Clostridiales;f__Savagellaceae	0	0	0	46	0	0	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;f__Rikenellaceae	59	3	0	8289	0	6	0	72	0	5
Firmicutes_A;Clostridia;Tissierellales;f__Ezakiellaceae	3364	2159	2	0	1429	1276	35	4604	72	814
Actinobacteriota;Actinobacteria;Actinomycetales;f__Micrococcaceae	0	3	0	148	1402	11	2295	6	0	16
Firmicutes_C;Negativicutes;Acidaminococcales;f__Acidaminococcaceae	25	111	0	549	0	198	4	313	0	41
Firmicutes_A;Clostridia;Oscillospirales;f__Butyricicoccaceae	54	91	0	3176	38	148	4	214	4	0
