e50d0c183689e4053ccb35f8b29d98c8	e50d0c183689e4053ccb35f8b29da3f1	76612bd9a41885add4f6b0b7683fc62a	858ed4564f11795ec13dda4c10a0d72a	e50d0c183689e4053ccb35f8b29db9d8	858ed4564f11795ec13dda4c10a0fe2d	76612bd9a41885add4f6b0b768400213	76612bd9a41885add4f6b0b768400cc4	76612bd9a41885add4f6b0b768400e2f	76612bd9a41885add4f6b0b768401727	858ed4564f11795ec13dda4c10a11c73	858ed4564f11795ec13dda4c10a126b4	76612bd9a41885add4f6b0b768402828	858ed4564f11795ec13dda4c10a14413	858ed4564f11795ec13dda4c10a15a35	88af6472fb03642dd5eaf8cddcc0d7ce	76612bd9a41885add4f6b0b7684037d2	88af6472fb03642dd5eaf8cddcc0ffd2	858ed4564f11795ec13dda4c10a18ec7
Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;g__Streptococcus	942	1167	0	4	4	54	2	1375	33	2	38	1	11	223	1	7	143	17	311
Firmicutes_C;Negativicutes;Veillonellales;Dialisteraceae;g__Dialister	16929	322	0	0	412	6	483	788	125	3	1154	2	10	841	1	0	614	263	0
NA;NA;NA;NA;g__Gardnerella	707	234	6	1	0	76	367	5957	0	1	0	0	0	2132	1	0	131	13418	0
NA;NA;NA;NA;g__Peptostreptococcus	1671	877	0	0	0	43	125	371	0	0	0	0	0	290	0	0	144	0	0
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;g__Peptoniphilus	2534	770	0	2	1582	294	156	1449	40	0	830	1	0	942	2	0	609	193	0
Actinobacteriota;Actinobacteria;Actinomycetales;Micrococcaceae;g__Rothia	5	0	0	0	0	2	0	0	0	2	1	1	2	1	0	0	1	0	0
Firmicutes_A;Clostridia;Clostridiales;Clostridiaceae;g__Clostridium	108	0	0	1	43	1	166	0	78	0	9	0	0	425	0	0	134	12	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;g__Bacteroides	24326	5633	15	10	1994	966	863	1252	755	138	9340	5	102	247	0	0	11190	903	0
Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;g__Campylobacter	3874	0	0	14	4095	70	957	0	70	3	1917	3	0	130	0	0	307	426	0
Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;g__Parabacteroides	24530	827	20	1	0	76	80	194	8	90	842	0	0	126	0	0	0	92	0
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;g__Mobiluncus	0	0	0	0	1	1	61	0	0	0	100	0	0	56	0	0	14	9	0
Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;g__Fusobacterium	4374	1	0	0	152	3	205	0	1	0	211	5	0	1530	0	0	14	2	0
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;g__Faecalibacterium	49089	2955	52	5	467	58	23	1	884	0	2337	0	0	3	0	0	3582	612	0
NA;NA;NA;NA;g__Proteus	0	3	0	0	0	0	1	0	0	0	0	0	0	0	23	0	0	0	0
Firmicutes_C;Negativicutes;Veillonellales;Veillonellaceae;g__Veillonella	42	0	0	0	5	362	0	0	11	1	5	0	0	1	24	1	18	15	0
Firmicutes_C;Negativicutes;Veillonellales;Megasphaeraceae;g__Megasphaera	0	0	0	0	0	0	44	0	0	1	95	0	0	1	4	0	106	4504	0
Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;g__Sneathia	0	0	1	0	0	0	605	1	0	6	3	0	0	19436	0	0	690	3	0
NA;NA;NA;NA;g__Leptotrichia	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae;g__Neisseria	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;g__Porphyromonas	0	0	0	0	530	9	0	0	156	0	19	0	0	0	0	0	0	36	0
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;g__Actinomyces	1	0	0	0	0	1	0	0	43	0	1	0	0	0	0	0	1	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Oribacterium	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;g__Lautropia	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
NA;NA;NA;NA;g__[Prevotella]	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
NA;NA;NA;NA;g__Filifactor	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
NA;NA;NA;NA;g__Moryella	0	0	0	3	93	0	7	0	0	0	61	0	0	207	0	0	1	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Bifidobacteriaceae;g__Bifidobacterium	1098	1	0	1	0	94	29	0	218	0	7	1	0	117	0	3	496	9	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__Parvimonas	0	0	0	0	0	0	159	0	0	0	0	0	0	2143	0	0	66	18	0
NA;NA;NA;NA;g__Granulicatella	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
NA;NA;NA;NA;g__Eikenella	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Enterobacterales;Pasteurellaceae;g__Haemophilus	0	0	0	2	0	1	0	0	1	1	4	0	15	4	0	0	0	1	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__Anaerococcus	15	1366	0	0	373	487	7	739	13	0	168	0	0	310	0	0	1150	60	0
